entry_time,entry_price,exit_time,exit_price,hold_seconds,quantity,profit_bps,cost_bps,net_profit_bps,pnl_amount,merge_count
2025-12-18 09:46:39,1.549,2025-12-18 09:48:39,1.55,120.0,140400.0,6.455777921240232,2.0,4.455777921240232,96.89004000002751,0.0
2025-12-18 09:52:15,1.551,2025-12-18 09:55:12,1.553,177.0,140300.0,12.894906511927799,2.0,10.894906511927799,0.0,1.0
2025-12-18 10:01:27,1.554,2025-12-18 10:03:15,1.555,108.0,140200.0,6.435006435005726,2.0,4.435006435005726,96.61181999996188,0.0
2025-12-18 10:09:42,1.553,2025-12-18 10:11:12,1.554,90.0,140300.0,6.439150032196471,2.0,4.439150032196471,96.70879000000423,0.0
2025-12-18 10:12:42,1.554,2025-12-18 10:14:03,1.555,81.0,140300.0,6.435006435005726,2.0,4.435006435005726,96.68072999999276,0.0
2025-12-18 10:15:30,1.555,2025-12-18 10:17:30,1.556,120.0,140300.0,6.430868167203292,2.0,4.430868167203292,96.6526700000395,0.0
2025-12-18 10:19:33,1.557,2025-12-18 10:21:30,1.558,117.0,140100.0,6.422607578677662,2.0,4.422607578677662,96.45885000002454,0.0
2025-12-18 10:45:21,1.553,2025-12-18 10:47:15,1.554,114.0,140600.0,6.439150032196471,2.0,4.439150032196471,96.91558000000077,0.0
2025-12-18 11:07:54,1.552,2025-12-18 11:09:54,1.553,120.0,140700.0,6.443298969071455,2.0,4.443298969071455,97.01264999998966,0.0
2025-12-18 13:05:24,1.552,2025-12-18 13:07:24,1.553,120.0,140800.0,6.443298969071455,2.0,4.443298969071455,97.08159999997588,0.0
2025-12-18 13:12:03,1.554,2025-12-18 13:13:30,1.555,87.0,140700.0,6.435006435005726,2.0,4.435006435005726,96.95636999997078,0.0
2025-12-18 14:28:06,1.551,2025-12-18 14:30:03,1.552,117.0,141000.0,6.447453255964616,2.0,4.447453255964617,97.24769999997807,0.0
2025-12-23 09:35:09,1.58,2025-12-23 09:36:33,1.581,84.0,138500.0,6.329113924049936,2.0,4.329113924049936,94.72015000000829,0.0
2025-12-23 10:00:24,1.579,2025-12-23 10:01:36,1.58,72.0,138600.0,6.333122229259734,2.0,4.333122229259734,94.81626000002143,0.0
2025-12-23 10:05:06,1.579,2025-12-23 10:07:06,1.58,120.0,138700.0,6.333122229259734,2.0,4.333122229259734,94.88467000002856,0.0
2025-12-23 10:10:27,1.58,2025-12-23 10:13:48,1.582,201.0,138600.0,12.658227848101276,2.0,10.658227848101276,0.0,1.0
2025-12-23 11:10:54,1.579,2025-12-23 11:12:45,1.58,111.0,138900.0,6.333122229259734,2.0,4.333122229259734,95.02148999998462,0.0
2025-12-23 11:20:27,1.581,2025-12-23 11:22:27,1.582,120.0,138700.0,6.325110689437773,2.0,4.325110689437773,94.82919000004767,0.0
2025-12-23 14:18:27,1.572,2025-12-23 14:20:24,1.573,117.0,139600.0,6.361323155215584,2.0,4.361323155215584,95.69579999998678,0.0
2025-12-24 09:30:51,1.574,2025-12-24 09:31:45,1.575,54.0,139500.0,6.353240152477063,2.0,4.353240152477063,95.57144999998854,0.0
2025-12-24 09:36:21,1.575,2025-12-24 09:41:48,1.578,327.0,139400.0,19.04761904761977,2.0,17.04761904761977,0.0,2.0
2025-12-24 09:45:18,1.576,2025-12-24 09:47:18,1.577,120.0,139500.0,6.345177664973921,2.0,4.345177664973921,95.51565000001574,0.0
2025-12-24 09:54:12,1.576,2025-12-24 09:56:03,1.577,111.0,139600.0,6.345177664973921,2.0,4.345177664973921,95.58411999998498,0.0
